mp_script_1,ad_sodamachine,PROPS_AD_SODAMACHINE
mp_script_2,aftermath_power_stationthing3,PROPS_AFTERMATH_POWER_STATIONTHING3
mp_script_3,aftermath_roadblock_02,PROPS_AFTERMATH_ROADBLOCK_02
mp_script_4,aftermath_roadsign,PROPS_AFTERMATH_ROADSIGN
mp_script_5,ap_airbus_seat_1,PROPS_AP_AIRBUS_SEAT_1
mp_script_6,ap_airbus_seat_2,PROPS_AP_AIRBUS_SEAT_2
mp_script_7,ap_food_cart,PROPS_AP_FOOD_CART
mp_script_8,ap_luggage01,PROPS_AP_LUGGAGE01
mp_script_9,ap_luggage02,PROPS_AP_LUGGAGE02
mp_script_10,ap_luggage03,PROPS_AP_LUGGAGE03
mp_script_11,ap_luggage04,PROPS_AP_LUGGAGE04
mp_script_12,ap_square_table01,PROPS_AP_SQUARE_TABLE01
mp_script_13,ap_table01,PROPS_AP_TABLE01
mp_script_14,bathroom_toilet,PROPS_BATHROOM_TOILET
mp_script_16,bc_ammo_box_762,PROPS_BC_AMMO_BOX_762
mp_script_17,bc_cot,PROPS_BC_COT
mp_script_25,bc_target_dummy,PROPS_BC_TARGET_DUMMY
mp_script_26,bog_b_cinderblock_clutter,PROPS_BOG_B_CINDERBLOCK_CLUTTER
mp_script_27,ch_baby_carriage,PROPS_CH_BABY_CARRIAGE
mp_script_28,ch_bedframemetal_dark,PROPS_CH_BEDFRAMEMETAL_DARK
mp_script_29,ch_bedframemetal_gray,PROPS_CH_BEDFRAMEMETAL_GRAY
mp_script_30,ch_bumper_car,PROPS_CH_BUMPER_CAR
mp_script_31,ch_bumper_car_blue,PROPS_CH_BUMPER_CAR_BLUE
mp_script_32,ch_crate24x24,PROPS_CH_CRATE24X24
mp_script_33,ch_crate24x36,PROPS_CH_CRATE24X36
mp_script_34,ch_crate32x48,PROPS_CH_CRATE32X48
mp_script_35,ch_crate48x64,PROPS_CH_CRATE48X64
mp_script_36,ch_crate64x64,PROPS_CH_CRATE64X64
mp_script_37,ch_dead_cow,PROPS_CH_DEAD_COW
mp_script_38,ch_dead_cow_rotten,PROPS_CH_DEAD_COW_ROTTEN
mp_script_39,ch_dinerboothchair,PROPS_CH_DINERBOOTHCHAIR
mp_script_40,ch_dinerboothtable,PROPS_CH_DINERBOOTHTABLE
mp_script_41,ch_dinerboothtable_2,PROPS_CH_DINERBOOTHTABLE_2
mp_script_42,ch_dinercounterchair,PROPS_CH_DINERCOUNTERCHAIR
mp_script_43,ch_dinercounterchair_2,PROPS_CH_DINERCOUNTERCHAIR_2
mp_script_44,ch_furniture_couch01,PROPS_CH_FURNITURE_COUCH01
mp_script_45,ch_furniture_couch02,PROPS_CH_FURNITURE_COUCH02
mp_script_46,ch_furniture_kids_chair1,PROPS_CH_FURNITURE_KIDS_CHAIR1
mp_script_47,ch_furniture_kids_desk1,PROPS_CH_FURNITURE_KIDS_DESK1
mp_script_48,ch_furniture_school_lunch_table,PROPS_CH_FURNITURE_SCHOOL_LUNCH_TABLE
mp_script_49,ch_furniture_teachers_chair1,PROPS_CH_FURNITURE_TEACHERS_CHAIR1
mp_script_50,ch_furniture_teachers_desk1,PROPS_CH_FURNITURE_TEACHERS_DESK1
mp_script_51,ch_gas_pump,PROPS_CH_GAS_PUMP
mp_script_52,ch_gas_pump2,PROPS_CH_GAS_PUMP2
mp_script_53,ch_haycart,PROPS_CH_HAYCART
mp_script_54,ch_hayroll_02,PROPS_CH_HAYROLL_02
mp_script_55,ch_hayroll_03,PROPS_CH_HAYROLL_03
mp_script_56,ch_lawnmower,PROPS_CH_LAWNMOWER
mp_script_58,ch_mattress_2,PROPS_CH_MATTRESS_2
mp_script_59,ch_mattress_3,PROPS_CH_MATTRESS_3
mp_script_62,ch_mattress_boxspring,PROPS_CH_MATTRESS_BOXSPRING
mp_script_63,ch_piano_dark,PROPS_CH_PIANO_DARK
mp_script_64,ch_piano_light,PROPS_CH_PIANO_LIGHT
mp_script_65,ch_pillow_1,PROPS_CH_PILLOW_1
mp_script_66,ch_pillow_2,PROPS_CH_PILLOW_2
mp_script_67,ch_playground_horse,PROPS_CH_PLAYGROUND_HORSE
mp_script_68,ch_radiator01,PROPS_CH_RADIATOR01
mp_script_69,ch_railing_long,PROPS_CH_RAILING_LONG
mp_script_70,ch_railing_short,PROPS_CH_RAILING_SHORT
mp_script_71,ch_russian_table,PROPS_CH_RUSSIAN_TABLE
mp_script_72,ch_sign_noentry,PROPS_CH_SIGN_NOENTRY
mp_script_73,ch_sign_noleftturn,PROPS_CH_SIGN_NOLEFTTURN
mp_script_74,ch_sign_noparking,PROPS_CH_SIGN_NOPARKING
mp_script_75,ch_sign_nopedestrians,PROPS_CH_SIGN_NOPEDESTRIANS
mp_script_76,ch_sign_norightturn,PROPS_CH_SIGN_NORIGHTTURN
